Unnamed: 0,Strassenklasse,Unfalldatum,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage,Monat
0,Bundesstrasse,2018-01-23 00:00:00,59,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1330,LKW ab 7.5t,Gut,1
1,Autobahn,2011-05-17 00:00:00,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,trocken,weiblich,1724,Auto,Gut,5
2,nicht klassifiziert,2018-02-14 00:00:00,56,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1345,Mottorrad (500cc),Gut,2
3,Bundesstrasse,2012-10-31 00:00:00,66,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,1830,Auto,Regen,10
4,Bundesstrasse,2018-11-03 00:00:00,33,Fahrer,2,Dunkelheit: keine Strassenbeleuchtung,1,1,nass / feucht,männlich,15,Auto,Gut,11
5,nicht klassifiziert,2009-05-31 00:00:00,72,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1457,Auto,Gut,5
6,Bundesstrasse,2018-10-24 00:00:00,62,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1130,Fahrrad,Gut,10
7,nicht klassifiziert,2018-07-25 00:00:00,45,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1520,Transporter,Gut,7
8,Bundesstrasse,2018-01-07 00:00:00,66,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,Schnee,weiblich,1057,Auto,Schnee,1
9,Bundesstrasse,2018-09-10 00:00:00,67,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1300,Auto,Gut,9
10,Landesstrasse,2018-11-21 00:00:00,12,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,835,Auto,Gut,11
11,nicht klassifiziert,2018-11-26 00:00:00,60,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1205,Bus,Gut,11
12,nicht klassifiziert,2009-12-10 00:00:00,16,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1215,Auto,Gut,12
13,Landesstrasse,2012-12-19 00:00:00,64,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1120,Bus,Regen (starker Wind),12
14,Landesstrasse,2011-12-09 00:00:00,55,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,1908,Auto,Gut,12
15,Autobahn,2018-10-11 00:00:00,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,1,trocken,männlich,1607,Auto,Gut,10
16,Bundesstrasse,2018-01-19 00:00:00,27,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,nass / feucht,weiblich,1820,Auto,Regen,1
17,nicht klassifiziert,2012-10-20 00:00:00,55,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2200,Auto,Gut,10
18,nicht klassifiziert,2018-08-15 00:00:00,26,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,422,Auto,Gut,8
19,nicht klassifiziert,2018-06-15 00:00:00,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1445,Auto,Gut,6
20,Landesstrasse,2018-08-24 00:00:00,31,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,3,trocken,weiblich,2240,Auto,Gut,8
21,Bundesstrasse,2018-09-14 00:00:00,43,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,9,2,trocken,männlich,1430,Transporter,Gut,9
22,Bundesstrasse,2011-10-07 00:00:00,32,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1545,Mottorrad (50cc),Gut,10
23,Autobahn,2018-07-05 00:00:00,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1300,Auto,Gut,7
24,nicht klassifiziert,2018-09-14 00:00:00,18,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1847,Auto,Gut (starker Wind),9
25,Bundesstrasse,2018-09-09 00:00:00,47,Fahrer,2,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,2028,Auto,Gut,9
26,nicht klassifiziert,2018-09-27 00:00:00,10,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1748,Auto,Gut,9
27,nicht klassifiziert,2018-02-02 00:00:00,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,5,nass / feucht,weiblich,1800,Auto,Gut (starker Wind),2
28,nicht klassifiziert,2018-02-13 00:00:00,97,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1238,Auto,Gut,2
29,Bundesstrasse,2018-04-10 00:00:00,13,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,3,trocken,männlich,1415,Auto,Gut,4
30,Autobahn,2018-02-24 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,1326,Auto,Gut,2
31,Landesstrasse,2010-12-11 00:00:00,4,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1000,Taxi,Gut,12
32,Bundesstrasse,2018-06-28 00:00:00,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,855,Auto,Gut,6
33,nicht klassifiziert,2012-05-31 00:00:00,23,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1342,Auto,Gut,5
34,Bundesstrasse,2018-11-05 00:00:00,28,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,1840,Fahrrad,Gut,11
35,nicht klassifiziert,2018-08-08 00:00:00,16,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1805,Mottorrad,Gut,8
36,nicht klassifiziert,2018-07-09 00:00:00,18,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,1,trocken,weiblich,2330,Auto,Gut,7
37,nicht klassifiziert,2012-05-17 00:00:00,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1445,Mottorrad (50cc),Gut,5
38,Bundesstrasse,2018-10-09 00:00:00,57,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,weiblich,713,Auto,Gut,10
39,Bundesstrasse,2011-03-01 00:00:00,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1000,Auto,Gut,3
40,Bundesstrasse,2018-06-05 00:00:00,81,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1307,Auto,Gut,6
41,nicht klassifiziert,2018-04-27 00:00:00,69,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,nass / feucht,weiblich,1020,Auto,Regen,4
42,Bundesstrasse,2018-08-23 00:00:00,14,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,8,2,trocken,weiblich,45,Auto,Gut,8
43,Bundesstrasse,2010-10-01 00:00:00,58,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,nass / feucht,männlich,1725,Auto,Regen,10
44,nicht klassifiziert,2018-08-13 00:00:00,77,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1610,Auto,Gut,8
45,Bundesstrasse,2018-07-27 00:00:00,29,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,54,Auto,Regen,7
46,nicht klassifiziert,2018-08-18 00:00:00,18,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1600,Mottorrad (125cc),Gut,8
47,nicht klassifiziert,2012-05-17 00:00:00,41,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1040,Taxi,Gut,5
48,Bundesstrasse,2012-10-20 00:00:00,44,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,830,Auto,Gut,10
49,nicht klassifiziert,2018-04-10 00:00:00,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,810,Mottorrad (500cc),Gut,4
50,nicht klassifiziert,2018-07-25 00:00:00,51,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,935,Fahrrad,Gut,7
51,Bundesstrasse,2018-05-23 00:00:00,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,904,Fahrrad,Gut,5
52,Landesstrasse,2018-12-04 00:00:00,47,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1933,Fahrrad,Gut,12
53,nicht klassifiziert,2012-12-31 00:00:00,32,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2335,Auto,Gut,12
54,Bundesstrasse,2018-09-23 00:00:00,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1630,Fahrrad,Gut,9
55,Bundesstrasse,2018-06-03 00:00:00,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1740,Auto,Gut,6
56,Autobahn,2009-12-24 00:00:00,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,Schnee,männlich,702,Auto,Schnee,12
57,nicht klassifiziert,2018-11-05 00:00:00,6,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,3,nass / feucht,männlich,1840,Auto,Gut,11
58,nicht klassifiziert,2009-05-20 00:00:00,36,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,2220,Transporter,Regen (starker Wind),5
59,nicht klassifiziert,2018-05-14 00:00:00,17,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,2010,Auto,Unbekannt,5
60,Bundesstrasse,2010-12-30 00:00:00,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,848,Auto,Gut,12
61,Bundesstrasse,2018-06-14 00:00:00,50,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,4,trocken,weiblich,1209,Auto,Gut,6
62,Bundesstrasse,2018-05-02 00:00:00,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1753,Auto,Gut,5
63,nicht klassifiziert,2018-02-17 00:00:00,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2058,Bus,Gut,2
64,nicht klassifiziert,2018-06-24 00:00:00,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,600,Auto,Gut,6
65,Bundesstrasse,2018-07-22 00:00:00,65,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,1100,Bus,Gut,7
66,Bundesstrasse,2018-07-31 00:00:00,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,11,2,trocken,männlich,1940,Bus,Gut,7
67,Bundesstrasse,2009-10-28 00:00:00,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,4,nass / feucht,weiblich,730,Auto,Gut,10
68,Bundesstrasse,2018-10-26 00:00:00,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,7,2,trocken,männlich,29,Auto,Gut,10
69,nicht klassifiziert,2018-06-29 00:00:00,9,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,1915,Taxi,Gut,6
70,nicht klassifiziert,2018-10-31 00:00:00,9,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1300,Auto,Gut,10
71,nicht klassifiziert,2011-10-05 00:00:00,79,Fussgänger,3,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1335,Auto,Gut,10
72,nicht klassifiziert,2018-11-10 00:00:00,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1720,Auto,Gut,11
73,nicht klassifiziert,2018-09-21 00:00:00,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,910,Auto,Gut,9
74,nicht klassifiziert,2018-12-07 00:00:00,12,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1115,Fahrrad,Gut,12
75,Bundesstrasse,2018-01-11 00:00:00,44,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,nass / feucht,weiblich,210,Auto,Gut,1
76,Bundesstrasse,2018-12-08 00:00:00,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1100,Auto,Gut,12
77,Bundesstrasse,2012-03-06 00:00:00,40,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2035,Auto,Gut,3
78,Bundesstrasse,2018-08-03 00:00:00,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1400,Taxi,Gut,8
79,nicht klassifiziert,2018-01-18 00:00:00,27,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,Schnee,männlich,2100,Auto,Schnee,1
80,Landesstrasse,2018-07-07 00:00:00,71,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1250,Auto,Gut,7
81,nicht klassifiziert,2018-06-12 00:00:00,7,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1710,Auto,Gut,6
82,Bundesstrasse,2010-05-01 00:00:00,57,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,815,Auto,Gut,5
83,nicht klassifiziert,2012-12-27 00:00:00,27,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1138,Auto,Gut,12
84,nicht klassifiziert,2018-01-30 00:00:00,51,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1530,Auto,Gut,1
85,nicht klassifiziert,2009-03-04 00:00:00,14,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1515,Auto,Gut,3
86,Bundesstrasse,2018-06-23 00:00:00,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2330,Auto,Gut,6
87,nicht klassifiziert,2018-04-25 00:00:00,38,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,nass / feucht,männlich,1715,Auto,Regen,4
88,nicht klassifiziert,2018-06-01 00:00:00,16,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1420,Fahrrad,Gut,6
89,nicht klassifiziert,2018-04-06 00:00:00,48,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2000,Auto,Gut,4
90,nicht klassifiziert,2018-04-27 00:00:00,1,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1530,Auto,Gut,4
